16 0.145855 0.00223812  5.85925 1.93242
16 0.153434 0.00134198  109 4.19336    
16 0.156189 0.00237784  161.925 2.77241
16 0.141894 0.0012471  1.22018 0.519586
16 0.179082 0.00211406  171.914 1.67009
16 0.157199 0.00106237  159.707 1.30299
16 0.155435 0.00102573  160.517 1.34463
20 0.148197 0.0010302  13.3974 0.866729
20 0.180269 0.00210767  170.117 2.78675
20 0.151908 0.000807535  81.1797 2.32808
20 0.155194 0.000845795  153.051 1.44565
20 0.149626 0.00115831  28.1299 1.3109  
20 0.152267 0.00144361  129.488 4.83948 
20 0.144898 0.000764404  3.91449 0.346538
20 0.169466 0.000930258  169.075 1.14415 
20 0.154727 0.000654964  152.355 1.18263 
20 0.153476 0.000756777  152.572 1.48061 
24 0.147875 0.000534865  18.3062 0.233031
24 0.171167 0.000713458  168.671 1.32678 
24 0.150486 0.000672115  64.1143 1.91488 
24 0.178594 0.000566817  171.619 1.32116 
24 0.152193 0.000922484  148.57 2.14805  
24 0.149872 0.000938237  39.3919 0.2985  
24 0.180792 0.00160111  162.202 4.8589   
24 0.152193 0.000922621  108.305 3.80258 
24 0.145285 0.0007247  5.24882 0.148382  
24 0.162418 0.000768961  167.311 1.33606 
24 0.150127 0.00089797  79.0396 2.58321  
24 0.185653 0.00118367  167.558 2.90297  
24 0.153208 0.000779786  144.187 1.90538 
24 0.151134 0.000669176  146.648 1.80392 
