0.07856  -nan  -nan
0.0786696  1.71678e-05  4.18324e-07
0.0787792  4.86164e-05  1.18482e-06
0.0788889  8.9422e-05  2.17965e-06
0.0789985  0.000137841  3.36043e-06
0.0791081  0.000192874  4.70286e-06
0.0792177  0.000253851  6.1907e-06
0.0793274  0.000320283  7.81212e-06
0.079437  0.000391795  9.55804e-06
0.0795466  0.000468088  1.14212e-05
0.0796562  0.000548917  1.33957e-05
0.0797659  0.000634075  1.54766e-05
0.0798755  0.000723387  1.76597e-05
0.0799851  0.000816703  1.99413e-05
0.0800947  0.00091389  2.23183e-05
0.0802044  0.00101483  2.47878e-05
0.080314  0.00111943  2.73475e-05
0.0804236  0.00122758  2.9995e-05
0.0805332  0.00133921  3.27286e-05
0.0806429  0.00145424  3.55463e-05
0.0807525  0.0015726  3.84465e-05
0.0808621  0.00169423  4.14278e-05
0.0809717  0.00181908  4.44889e-05
0.0810814  0.00194709  4.76285e-05
0.081191  0.00207821  5.08456e-05
0.0813006  0.0022124  5.4139e-05
0.0814102  0.00234962  5.75079e-05
0.0815199  0.00248983  6.09513e-05
0.0816295  0.002633  6.44685e-05
0.0817391  0.00277909  6.80588e-05
0.0818487  0.00292808  7.17214e-05
0.0819584  0.00307993  7.54558e-05
0.082068  0.00323462  7.92613e-05
0.0821776  0.00339212  8.31374e-05
0.0822872  0.00355242  8.70836e-05
0.0823969  0.00371549  9.10995e-05
0.0825065  0.00388132  9.51847e-05
0.0826161  0.00404987  9.93386e-05
0.0827257  0.00422115  0.000103561
0.0828354  0.00439513  0.000107852
0.082945  0.00457179  0.00011221
0.0830546  0.00475113  0.000116636
0.0831642  0.00493313  0.00012113
0.0832739  0.00511778  0.00012569
0.0833835  0.00530506  0.000130318
0.0834931  0.00549498  0.000135012
0.0836027  0.00568752  0.000139773
0.0837124  0.00588266  0.0001446
0.083822  0.00608042  0.000149494
0.0839316  0.00628077  0.000154453
0.0840412  0.00648371  0.000159479
0.0841509  0.00668923  0.000164571
0.0842605  0.00689734  0.000169729
0.0843701  0.00710802  0.000174953
0.0844797  0.00732127  0.000180243
0.0845894  0.0075371  0.000185599
0.084699  0.00775549  0.00019102
0.0848086  0.00797644  0.000196508
0.0849182  0.00819996  0.000202061
0.0850279  0.00842604  0.000207681
0.0851375  0.00865468  0.000213367
0.0852471  0.00888588  0.000219118
0.0853567  0.00911964  0.000224936
0.0854664  0.00935596  0.000230821
0.085576  0.00959484  0.000236771
0.0856856  0.00983629  0.000242788
0.0857952  0.0100803  0.000248872
0.0859049  0.0103269  0.000255023
0.0860145  0.010576  0.00026124
0.0861241  0.0108277  0.000267525
0.0862337  0.011082  0.000273876
0.0863434  0.0113389  0.000280295
0.086453  0.0115984  0.000286782
0.0865626  0.0118604  0.000293336
0.0866722  0.0121251  0.000299959
0.0867819  0.0123923  0.000306649
0.0868915  0.0126621  0.000313408
0.0870011  0.0129346  0.000320235
0.0871107  0.0132096  0.000327132
0.0872204  0.0134873  0.000334097
0.08733  0.0137676  0.000341132
0.0874396  0.0140506  0.000348236
0.0875492  0.0143361  0.00035541
0.0876588  0.0146244  0.000362655
0.0877685  0.0149153  0.000369969
0.0878781  0.0152088  0.000377355
0.0879877  0.015505  0.000384811
0.0880973  0.0158039  0.000392339
0.088207  0.0161055  0.000399939
0.0883166  0.0164098  0.000407611
0.0884262  0.0167168  0.000415355
0.0885358  0.0170265  0.000423171
0.0886455  0.0173389  0.000431061
0.0887551  0.0176541  0.000439024
0.0888647  0.017972  0.000447061
0.0889743  0.0182927  0.000455172
0.089084  0.0186161  0.000463358
0.0891936  0.0189423  0.000471619
0.0893032  0.0192713  0.000479955
0.0894128  0.0196032  0.000488367
0.0895225  0.0199378  0.000496855
0.0896321  0.0202753  0.000505419
0.0897417  0.0206156  0.000514061
0.0898513  0.0209587  0.000522781
0.089961  0.0213048  0.000531578
0.0900706  0.0216537  0.000540454
0.0901802  0.0220055  0.000549409
0.0902898  0.0223602  0.000558443
0.0903995  0.0227178  0.000567557
0.0905091  0.0230784  0.000576752
0.0906187  0.0234419  0.000586028
0.0907283  0.0238084  0.000595385
0.090838  0.0241778  0.000604824
0.0909476  0.0245503  0.000614346
0.0910572  0.0249258  0.00062395
0.0911668  0.0253043  0.000633639
0.0912765  0.0256858  0.000643412
0.0913861  0.0260704  0.000653269
0.0914957  0.0264581  0.000663212
0.0916053  0.0268489  0.000673241
0.091715  0.0272428  0.000683357
0.0918246  0.0276399  0.00069356
0.0919342  0.02804  0.00070385
0.0920438  0.0284434  0.00071423
0.0921535  0.0288499  0.000724698
0.0922631  0.0292597  0.000735256
0.0923727  0.0296727  0.000745905
0.0924823  0.0300889  0.000756645
0.092592  0.0305084  0.000767477
0.0927016  0.0309311  0.000778402
0.0928112  0.0313572  0.000789419
0.0929208  0.0317866  0.000800531
0.0930305  0.0322194  0.000811738
0.0931401  0.0326555  0.00082304
0.0932497  0.033095  0.000834438
0.0933593  0.0335379  0.000845934
0.093469  0.0339843  0.000857527
0.0935786  0.0344341  0.000869219
0.0936882  0.0348874  0.00088101
0.0937978  0.0353442  0.000892902
0.0939075  0.0358046  0.000904895
0.0940171  0.0362685  0.00091699
0.0941267  0.036736  0.000929187
0.0942363  0.037207  0.000941489
0.094346  0.0376817  0.000953894
0.0944556  0.0381601  0.000966406
0.0945652  0.0386421  0.000979024
0.0946748  0.0391279  0.000991749
0.0947845  0.0396173  0.00100458
0.0948941  0.0401106  0.00101753
0.0950037  0.0406076  0.00103058
0.0951133  0.0411084  0.00104374
0.095223  0.0416131  0.00105702
0.0953326  0.0421216  0.00107041
0.0954422  0.0426341  0.00108391
0.0955518  0.0431504  0.00109753
0.0956615  0.0436708  0.00111127
0.0957711  0.0441951  0.00112512
